Date,Open,High,Low,Last,Close,Turnover,Trades
2021-03-01,2110.2,2112.0,2062.5,2103.0,2101.7,1707710115320000.0,266082
2021-03-02,2122.0,2130.0,2089.1,2108.0,2106.0,1668325035850000.0,244565
2021-03-03,2121.05,2219.9,2107.2,2207.1,2202.1,3184621337025000.0,326092
2021-03-04,2180.0,2189.95,2157.7,2174.0,2175.85,2152207032090000.2,259806
2021-03-05,2156.0,2211.95,2153.05,2174.55,2178.7,2571768512945000.0,312784
2021-03-08,2168.5,2231.9,2168.0,2193.0,2191.1,1985624455330000.0,300037
2021-03-09,2200.0,2213.8,2146.6,2190.55,2191.05,1525673621560000.0,227932
2021-03-10,2207.0,2215.1,2170.25,2179.4,2181.95,1163007490215000.0,163700
2021-03-12,2195.0,2206.4,2123.9,2136.9,2137.6,1681634589925000.0,244889
2021-03-15,2140.05,2148.9,2080.5,2105.0,2108.9,1620919017560000.0,268696
2021-03-16,2114.0,2126.0,2095.5,2100.75,2100.6,1349184140475000.0,235823
2021-03-17,2098.05,2103.0,2035.1,2054.5,2055.35,1831523317130000.0,241456
2021-03-18,2072.9,2084.8,2001.0,2010.0,2009.1,1942723115025000.0,295771
2021-03-19,1991.0,2095.85,1982.8,2078.1,2082.0,3948584025400000.0,431829
2021-03-22,2071.0,2074.0,2033.2,2061.0,2062.4,1757896066630000.0,234534
2021-03-23,2061.95,2109.7,2056.0,2079.9,2087.5,1677618863465000.0,220527
2021-03-24,2079.75,2079.75,2040.4,2048.55,2047.3,1596121134555000.0,222445
2021-03-25,2054.0,2054.0,1985.0,1993.95,1991.45,2042174379045000.0,292881
2021-03-26,2012.0,2013.7,1973.7,1994.0,1994.65,1858055923090000.2,296946
2021-03-30,2008.0,2048.9,1991.55,2031.9,2029.3,1911714942175000.0,230499
2021-03-31,2018.0,2049.9,1999.0,2005.65,2003.1,1512852774525000.0,193340
2021-04-01,2018.0,2030.0,2003.15,2020.0,2021.85,1091741193875000.0,140946
2021-04-05,2024.95,2025.0,1962.1,1992.0,1992.6,1363523747550000.0,246459
2021-04-06,2004.0,2004.95,1969.0,1986.2,1984.3,1283346959240000.0,209903
2021-04-07,2000.0,2046.9,1993.3,2001.55,2002.85,2261301434945000.0,286779
2021-04-08,2011.0,2022.0,1993.0,2006.4,2005.35,1422943168515000.0,191800
2021-04-09,1998.45,2006.35,1980.0,1983.45,1982.05,1288623494740000.0,234390
2021-04-12,1959.0,1961.4,1900.25,1915.65,1911.15,1854921283459999.8,330605
2021-04-13,1924.0,1940.6,1917.85,1932.3,1931.8,1730189036920000.0,206237
2021-04-15,1926.3,1961.0,1913.0,1943.0,1944.3,1759814886955000.0,189159
2021-04-16,1936.6,1949.9,1926.45,1929.0,1932.1,1398336435495000.0,206958
2021-04-19,1904.0,1916.4,1890.0,1903.05,1901.7,1622505956175000.0,271570
2021-04-20,1910.5,1919.0,1890.45,1905.0,1901.15,1513854171475000.0,202431
2021-04-22,1892.25,1914.45,1876.7,1905.1,1906.4,1269694826460000.0,209895
2021-04-23,1906.0,1918.9,1895.35,1903.35,1904.35,1041289396995000.1,171621
2021-04-26,1920.0,1962.0,1911.5,1938.0,1937.85,1867699462930000.0,259137
2021-04-27,1940.0,1997.2,1938.25,1990.0,1988.65,1825602129440000.2,291197
2021-04-28,1997.85,2008.0,1980.15,1993.15,1997.3,1578507608760000.0,247331
2021-04-29,2022.9,2044.5,2007.3,2020.0,2024.05,1626633942825000.0,213153
2021-04-30,2008.5,2036.0,1987.55,1995.9,1994.5,1839532117509999.8,288687
2021-05-03,1966.0,1979.0,1943.1,1956.0,1959.05,2136663946915000.2,343806
2021-05-04,1950.0,1967.8,1911.0,1918.0,1916.6,1952033040615000.2,325798
2021-05-05,1923.35,1938.5,1908.05,1921.5,1920.1,1100036396929999.9,190990
2021-05-06,1921.85,1935.0,1906.6,1932.0,1931.0,1296501970885000.0,221666
2021-05-07,1937.75,1955.65,1926.0,1926.8,1931.75,1100213052915000.0,188670
2021-05-10,1939.0,1946.8,1920.95,1927.1,1926.2,1243036110665000.0,197986
2021-05-11,1915.0,1938.55,1910.0,1933.9,1933.15,1200128865420000.0,175976
2021-05-12,1930.1,1932.9,1907.0,1913.05,1913.15,1164838036200000.0,212378
2021-05-14,1928.05,1942.0,1906.0,1937.0,1937.3,1180931172755000.0,227142
2021-05-17,1937.3,1963.45,1930.4,1958.85,1960.35,1068626780629999.9,164252
2021-05-18,1981.0,2002.6,1972.5,1986.0,1987.95,1106868225850000.0,184906
2021-05-19,1980.0,2016.45,1972.0,1993.0,1997.05,1504967772140000.0,198257
2021-05-20,1997.9,2010.9,1981.0,1982.0,1985.4,1049952748965000.0,158144
2021-05-21,1992.0,2009.6,1986.0,1999.6,2002.55,995444199229999.9,182141
2021-05-24,2008.0,2009.8,1982.0,1985.05,1985.65,786993669465000.0,130059
2021-05-25,1996.4,1997.0,1960.0,1964.0,1963.15,1346697607140000.0,208558
2021-05-26,1975.0,1979.5,1965.3,1967.0,1970.05,680870090860000.0,118469
2021-05-27,1970.3,1993.0,1962.25,1990.0,1976.1,2447658808035000.0,219255
2021-05-28,1990.0,2105.0,1990.0,2094.45,2094.8,5387879158965000.0,642384
2021-05-31,2102.0,2191.7,2085.05,2153.5,2160.3,5878142157865000.0,624166
2021-06-01,2166.0,2202.0,2146.5,2164.3,2168.9,2813889260900000.0,390299
2021-06-02,2157.0,2209.5,2157.0,2207.0,2201.25,2476418758475000.0,258490
2021-06-03,2221.0,2250.0,2196.1,2208.0,2209.65,2457887832280000.0,341728
2021-06-04,2214.8,2216.45,2184.25,2186.9,2190.5,1467447422595000.0,219435
2021-06-07,2202.0,2242.0,2185.0,2225.05,2227.4,1669795878150000.0,227808
2021-06-08,2226.6,2227.15,2198.15,2211.5,2214.6,988233230585000.0,147771
2021-06-09,2219.0,2221.0,2157.95,2178.0,2175.0,1152880333615000.0,167739
2021-06-10,2193.4,2230.0,2177.55,2184.8,2183.0,1436827285515000.0,215752
2021-06-11,2182.9,2228.0,2180.1,2215.8,2213.15,1406381759510000.0,226319
2021-06-14,2215.0,2258.25,2195.05,2245.0,2244.9,2094509779490000.2,284426
2021-06-15,2261.0,2274.9,2240.3,2244.0,2250.0,1580861110025000.0,215805
2021-06-16,2244.9,2247.05,2205.85,2209.55,2211.6,1108104710715000.0,163887
2021-06-17,2200.0,2235.0,2179.9,2214.15,2215.65,1607717656255000.0,225832
2021-06-18,2225.5,2235.0,2184.35,2224.15,2225.65,3004172515995000.0,221167
2021-06-21,2203.5,2247.5,2200.15,2238.95,2237.25,1251685229150000.0,180220
2021-06-22,2254.0,2261.0,2219.35,2225.0,2225.75,1333886084710000.0,180362
2021-06-23,2250.0,2250.6,2201.7,2208.15,2205.35,1704276222855000.0,214835
2021-06-24,2206.85,2214.6,2140.0,2147.8,2153.5,9179980463260000.0,755278
2021-06-25,2153.5,2153.5,2081.1,2104.5,2104.45,5380107704015000.0,629847
2021-06-28,2122.0,2126.5,2081.0,2089.0,2086.0,1965437982809999.8,286857
2021-06-29,2089.5,2109.0,2084.1,2090.0,2087.8,2620545648280000.0,267376
2021-06-30,2096.25,2122.65,2091.05,2112.0,2110.65,1922488142509999.8,251722
2021-07-01,2118.0,2123.15,2095.0,2101.5,2097.95,1220190789330000.0,196897
2021-07-02,2097.0,2132.9,2092.95,2131.55,2129.05,1378407472620000.0,187794
2021-07-05,2136.45,2153.55,2131.5,2150.0,2150.2,1158734889660000.0,175055
2021-07-06,2144.95,2148.9,2120.2,2127.85,2124.8,993022431145000.1,125408
2021-07-07,2127.75,2127.75,2098.0,2112.0,2110.05,1017987555654999.9,227151
2021-07-08,2116.95,2116.95,2081.0,2091.0,2092.6,1082789714235000.0,223120
2021-07-09,2088.0,2091.7,2066.1,2071.95,2071.2,865381844175000.0,169203
2021-07-12,2079.75,2101.5,2074.5,2081.95,2084.1,827350730550000.0,140597
2021-07-13,2100.0,2103.05,2088.05,2099.0,2099.7,650098105055000.0,106030
2021-07-14,2100.35,2106.85,2081.25,2083.55,2086.0,823006462200000.0,169306
2021-07-15,2095.0,2095.0,2078.5,2080.75,2082.35,909855027454999.9,148981
2021-07-16,2087.75,2114.75,2087.6,2110.0,2112.4,857456919450000.0,126660
2021-07-19,2100.0,2124.0,2092.25,2097.95,2098.95,812976337795000.0,129037
2021-07-20,2099.5,2108.0,2084.0,2089.95,2093.8,652471878300000.0,105619
2021-07-22,2119.0,2123.9,2098.15,2121.5,2120.7,776911002990000.0,133510
2021-07-23,2134.45,2134.45,2102.05,2104.0,2105.7,971788550110000.0,143981
2021-07-26,2108.0,2121.0,2071.1,2073.9,2076.85,1196362319615000.0,193266
2021-07-27,2076.8,2083.7,2042.0,2054.0,2055.0,1030073694235000.0,196342
2021-07-28,2058.0,2058.0,2016.25,2035.0,2037.35,1210624143645000.0,222240
2021-07-29,2054.0,2074.4,2043.4,2054.3,2053.25,1306914042740000.0,203791
2021-07-30,2058.0,2067.95,2031.1,2037.0,2035.3,1073344460454999.9,158088
2021-08-02,2054.3,2079.4,2041.15,2068.5,2072.5,1042402079565000.0,164715
2021-08-03,2090.0,2091.0,2064.2,2090.0,2087.75,1133733562650000.0,137882
2021-08-04,2094.4,2114.0,2087.0,2105.0,2103.75,1278282170295000.0,188340
2021-08-05,2114.3,2154.8,2104.25,2131.0,2134.25,2086363848534999.8,249218
2021-08-06,2129.95,2146.95,2078.75,2090.0,2089.05,1611639992215000.0,225682
2021-08-09,2081.0,2089.8,2066.5,2078.5,2077.15,717987328645000.0,147892
2021-08-10,2082.0,2113.0,2073.75,2085.0,2088.05,1152496057540000.0,171235
2021-08-11,2096.95,2120.0,2083.4,2115.0,2117.3,891679468295000.1,138291
2021-08-12,2124.9,2126.2,2105.0,2109.8,2110.5,794332610005000.0,114345
2021-08-13,2117.3,2149.9,2108.95,2143.0,2145.65,1257802778410000.0,187810
2021-08-16,2149.35,2203.0,2128.15,2169.0,2173.5,2204234343170000.0,290119
2021-08-17,2168.85,2185.2,2147.85,2163.0,2164.25,1265998699425000.0,190350
2021-08-18,2174.0,2186.8,2152.6,2168.0,2172.65,1009141405270000.1,146613
2021-08-20,2143.0,2172.0,2137.0,2140.1,2148.25,937750260190000.0,147112
2021-08-23,2174.0,2174.0,2132.3,2161.15,2162.35,980945449065000.0,143268
2021-08-24,2165.05,2192.0,2155.6,2178.0,2183.7,1190516519690000.0,173479
2021-08-25,2185.4,2220.0,2180.1,2201.0,2202.6,1361136453360000.0,198304
2021-08-26,2208.0,2244.9,2205.0,2232.0,2230.45,1913381823365000.2,248660
2021-08-27,2237.0,2242.75,2216.05,2225.0,2227.4,1077776912785000.0,152317
2021-08-30,2250.0,2275.85,2236.8,2273.75,2270.25,1463815200570000.0,206768
2021-08-31,2276.9,2283.75,2242.25,2257.0,2258.15,2759509354145000.0,206759
2021-09-01,2273.0,2292.9,2263.0,2266.0,2267.1,1169805616260000.0,173178
2021-09-02,2255.0,2307.8,2255.0,2293.0,2294.4,1051678128445000.1,206002
2021-09-03,2310.0,2395.0,2302.5,2389.65,2388.5,3334540371590000.0,446968
2021-09-06,2413.0,2480.0,2412.0,2429.0,2425.6,3796726594030000.5,496545
2021-09-07,2430.0,2458.0,2412.0,2439.0,2440.9,1951819208884999.8,256461
2021-09-08,2452.0,2454.0,2406.65,2430.0,2431.35,1603324825230000.0,213942
2021-09-09,2427.9,2437.85,2416.1,2424.1,2425.6,1002836965220000.1,194645
2021-09-13,2433.0,2433.0,2368.05,2369.8,2371.55,1793028691015000.2,327407
2021-09-14,2375.0,2394.0,2366.0,2370.5,2368.45,977458416779999.9,153291
2021-09-15,2368.5,2395.75,2368.5,2379.4,2378.3,996504538275000.0,168130
2021-09-16,2381.55,2436.75,2367.0,2424.0,2428.2,1494905056995000.0,214010
